model_name,angle_x,angle_y,angle_z,filament_length_m,time_minutes,economy_percent
BoxHolder1,0.0,0.0,0.0,1.3,37,2.3
2_17.12,0.0,0.0,0.0,2.18,50,0.0
3_18.12,0.0,0.0,0.0,3.71,78,0.0
5_16.12,0.0,0.0,0.0,0.0,0,100.0
1_16.12,0.0,-90.0,0.0,16.38,339,20.2
3_17.12,0.0,0.0,0.0,4.06,89,0.0
3_16.12,-90.0,0.0,0.0,0.56,14,11.1
2_16.12,90.0,0.0,0.0,21.88,482,41.0
8_18.12,0.0,0.0,0.0,16.95,311,0.0
4_16.12,0.0,180.0,0.0,10.01,237,34.3
5_18.12,0.0,0.0,0.0,3.13,68,0.0
1_17.12,0.0,-90.0,0.0,12.44,262,30.9
6_18.12,0.0,0.0,0.0,25.78,428,0.0
1_18.12,90.0,0.0,0.0,10.8,242,5.3
9_18.12,0.0,0.0,0.0,21.6,370,0.0
10_18.12,-90.0,0.0,0.0,39.93,666,4.0
11_18.12,-90.0,0.0,0.0,17.92,368,6.1
4_18.12,0.0,-90.0,0.0,2.41,54,2.8
2_18.12,0.0,0.0,0.0,7.78,165,0.0
BoxHolder2,0.0,0.0,0.0,1.01,38,1.0
7_18.12,0.0,-90.0,0.0,7.3,141,3.1
