model_name,angle_x,angle_y,angle_z,time_minutes,filament_length_m
10_18.12,0.0,0.0,0.0,772,41.61
10_18.12,-90.0,0.0,0.0,666,39.93
10_18.12,-90.0,0.0,0.0,666,39.93
11_18.12,0.0,0.0,0.0,428,19.08
11_18.12,-90.0,0.0,0.0,368,17.92
11_18.12,-90.0,0.0,0.0,368,17.92
1_16.12,0.0,0.0,0.0,459,20.52
1_16.12,0.0,-90.0,0.0,339,16.38
1_16.12,0.0,-90.0,0.0,339,16.38
1_17.12,0.0,0.0,0.0,371,17.99
1_17.12,0.0,-90.0,0.0,262,12.44
1_17.12,45.0,30.0,0.0,262,12.44
1_18.12,0.0,0.0,0.0,238,11.4
1_18.12,90.0,0.0,0.0,242,10.8
1_18.12,90.0,0.0,0.0,242,10.8
2_16.12,0.0,0.0,0.0,845,37.09
2_16.12,90.0,0.0,0.0,482,21.88
2_16.12,90.0,0.0,0.0,556,22.78
2_17.12,0.0,0.0,0.0,50,2.18
2_17.12,0.0,0.0,0.0,50,2.18
2_17.12,0.0,0.0,0.0,50,2.18
2_18.12,0.0,0.0,0.0,165,7.78
2_18.12,0.0,0.0,0.0,165,7.78
2_18.12,0.0,0.0,0.0,165,7.78
3_16.12,0.0,0.0,0.0,19,0.63
3_16.12,-90.0,0.0,0.0,14,0.56
3_16.12,0.0,0.0,0.0,19,0.63
3_17.12,0.0,0.0,0.0,89,4.06
3_17.12,0.0,0.0,0.0,89,4.06
3_17.12,45.0,30.0,0.0,89,4.06
3_18.12,0.0,0.0,0.0,78,3.71
3_18.12,0.0,0.0,0.0,78,3.71
3_18.12,0.0,0.0,0.0,78,3.71
4_16.12,0.0,0.0,0.0,340,14.55
4_16.12,0.0,180.0,0.0,237,10.01
4_16.12,45.0,30.0,0.0,347,15.23
4_18.12,0.0,0.0,0.0,58,2.48
4_18.12,0.0,-90.0,0.0,54,2.41
4_18.12,0.0,0.0,0.0,58,2.48
5_16.12,0.0,0.0,0.0,0,0.0
5_16.12,90.0,0.0,0.0,175,8.84
5_16.12,90.0,0.0,0.0,236,10.07
5_18.12,0.0,0.0,0.0,68,3.13
5_18.12,0.0,0.0,0.0,68,3.13
5_18.12,0.0,0.0,0.0,68,3.13
6_18.12,0.0,0.0,0.0,428,25.78
6_18.12,0.0,0.0,0.0,428,25.78
6_18.12,0.0,0.0,0.0,428,25.78
7_18.12,0.0,0.0,0.0,149,7.53
7_18.12,0.0,-90.0,0.0,141,7.3
7_18.12,0.0,0.0,0.0,149,7.53
8_18.12,0.0,0.0,0.0,311,16.95
8_18.12,0.0,0.0,0.0,311,16.95
8_18.12,0.0,0.0,0.0,311,16.95
9_18.12,0.0,0.0,0.0,370,21.6
9_18.12,0.0,0.0,0.0,370,21.6
9_18.12,0.0,0.0,0.0,370,21.6
BoxHolder1,0.0,0.0,0.0,37,1.3
BoxHolder1,90.0,0.0,0.0,29,1.33
BoxHolder1,0.0,0.0,0.0,37,1.3
BoxHolder2,0.0,0.0,0.0,38,1.01
BoxHolder2,90.0,0.0,0.0,23,1.02
BoxHolder2,0.0,0.0,0.0,38,1.01
